alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
series fuel lift pump 165gph,\b(?:series\s+fuel\s+lift\s+pump\s+165gph)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,11,11,1.0,0.6671,1,1,"FASS TS 165G Titanium Signature Series Fuel Lift Pump 165GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS C08 165G Titanium Signature Series Fuel Lift Pump 165GPH 92-00 GM 6.5L Turbo Diesel | FASS TS C10 165G Titanium Signature Series Fuel Lift Pump 165GPH 01-10 6.6L GM Duramax"
talon slotted front brake rotors,\b(?:talon\s+slotted\s+front\s+brake\s+rotors)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Braking,11,11,1.0,0.6671,1,1,Hawk Performance Talon Slotted Front Brake Rotors 00-02 Ram 2500/3500 | Hawk Performance Talon Slotted Front Brake Rotors 03-04 Ford F-250/350 SRW | Hawk Performance Talon Slotted Front Brake Rotors 03-08 Ram 2500/3500
transmission rebuild kit with converter,\b(?:transmission\s+rebuild\s+kit\s+with\s+converter)\b,Automatic Transmission,Automatic Transmission,Rebuild Kits,Motor Vehicle Transmission & Drivetrain Parts,11,11,1.0,0.6671,1,1,SunCoast 4R100 Transmission Rebuild Kit With Converter 99-03 Ford 7.3L Powerstroke | SunCoast 5R110 Transmission Rebuild Kit With Converter 03-10 Ford 6.0L/6.4L Powerstroke | SunCoast 6R140 Transmission Rebuild Kit With Converter 11-19 Ford 6.7L Powerstroke
xtra cool directfit replacement radiator,\b(?:xtra\s+cool\s+directfit\s+replacement\s+radiator)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Radiators,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,XDP X-Tra Cool Direct-Fit Replacement Radiator 01-05 6.6L GM Duramax | XDP X-Tra Cool Direct-Fit Replacement Radiator 03-07 6.0L Ford Powerstroke | XDP X-Tra Cool Direct-Fit Replacement Radiator 03-09 Dodge 5.9L / 6.7L Cummins
armor lite 5 turbo,\b(?:armor\s+lite\s+5\s+turbo)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,11,11,1.0,0.6671,1,1,"MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust 03-07 Ford 6.0L Powerstroke | MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust System with Muffler 03-04 Dodge 5.9L Cummins | MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust System with Muffler 98.5-02 Dodge 5.9L Cummins"
bd iron horn series,\b(?:bd\s+iron\s+horn\s+series)\b,Turbos & Accessories,Turbos & Accessories,Complete Turbos,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,BD  Iron Horn Series S361SXE/76 .91AR Turbo Kit 03-07 Ram 5.9L Cummins | BD Iron Horn Series S363SXE/76 .91AR Turbo Kit 03-07 Ram 5.9L Cummins | BD Iron Horn Series S363SXE/80 .91AR Turbo Kit 03-07 Ram 5.9L Cummins
bottom end gasket kit,\b(?:bottom\s+end\s+gasket\s+kit)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,Cometic Bottom End Gasket Kit 03-07 Ford 6.0L Powerstroke | Cometic Bottom End Gasket Kit 07.5-10 GM 6.6L Duramax LMM Silverado 2500HD/3500 | Cometic Bottom End Gasket Kit 08-10 Ford 6.4L Powerstroke
coil spring lift kit,\b(?:coil\s+spring\s+lift\s+kit)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,11,11,1.0,0.6671,1,1,"ReadyLIFT 1.5"" Coil Spring Lift Kit w/ Falcon Shocks 19-24 Ram 2500 4WD | ReadyLIFT 3"" Coil Spring Lift Kit 19-25 RAM 3500 Dually HD | ReadyLIFT 4"" Coil Spring Lift Kit With Falcon Shocks 17-22 Ford 6.7L Powerstroke"
juice with attitude cts3,\b(?:juice\s+with\s+attitude\s+cts3)\b,Programmers / Chips / Tuners,Programmers / Chips / Tuners,,Motor Vehicle Power & Electrical Systems,11,11,1.0,0.6671,1,1,Edge Competition Juice with Attitude CTS3 01-02 Dodge 5.9L Cummins | Edge Competition Juice with Attitude CTS3 98.5-00 Dodge 5.9L Cummins | Edge Juice with Attitude CTS3 01-04 GM 6.6L Duramax LB7
pass side crew cab,\b(?:pass\s+side\s+crew\s+cab)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,11,11,1.0,0.6671,1,1,Fairchild Front Outer Belt Weatherstrip Kit | Drv & Pass Side | Crew Cab | 99-16 Ford F-250/F-350 | Fairchild Front Outer Belt Weatherstrip | Pass Side | Crew Cab | 99-16 Ford F-250/F-350 | Fairchild Rear Door Weatherstrip Seal Kit | Drv & Pass Side | Crew Cab | 07.5-13 GM 2500HD/3500
scorcher hd power module,\b(?:scorcher\s+hd\s+power\s+module)\b,Programmers / Chips / Tuners,Programmers / Chips / Tuners,,Motor Vehicle Power & Electrical Systems,11,11,1.0,0.6671,1,1,AFE Scorcher HD Power Module 01-04 GM 6.6L Duramax LB7 | AFE Scorcher HD Power Module 03-04 Ram 5.9L Cummins | AFE Scorcher HD Power Module 04.5-07 Ford 6.0L Powerstroke
stage 4 transmission package,\b(?:stage\s+4\s+transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,11,11,1.0,0.6671,1,1,ATS Stage 4 Transmission Package 01-04 6.6L GM Duramax LB7 | ATS Stage 4 Transmission Package 03-04 Dodge 5.9L Cummins | ATS Stage 4 Transmission Package 04.5-05 6.6L GM Duramax LLY
aluminized cat back,\b(?:aluminized\s+cat\s+back)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,11,11,1.0,0.6671,1,1,"Diamond Eye 4"" Aluminized Cat Back Duals 03-07 Ford 6.0L Ford Powerstroke K4340A | Diamond Eye 4"" Aluminized Cat Back Duals 04.5-07 Dodge 5.9L Cummins K4236A | Diamond Eye 4"" Aluminized Cat Back Duals 94-97 7.3L Ford Powerstroke K4312A"
outlet dual wall,\b(?:outlet\s+dual\s+wall)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,11,11,1.0,0.6671,1,1,"MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Black Exhaust Tip T5156BLK | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Exhaust Tip T5156 | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Rolled Edge Black Exhaust Tip T5155BLK"
premium stock replacement,\b(?:premium\s+stock\s+replacement)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,11,11,1.0,0.6671,1,1,BD 1725502 Premium Stock Replacement Common Rail Injector 01-04 GM Duramax LB7 | BD 1725504 Premium Stock Replacement Common Rail Injector 04.5-05 GM Duramax LLY | BD 1725520 Premium Stock Replacement Common Rail Injector 07.5-10 GM Duramax LMM
sport led light,\b(?:sport\s+led\s+light)\b,Lighting,Lighting,Auxiliary Lighting,Motor Vehicle Lighting,11,11,1.0,0.6671,1,1,Baja Designs S2 Sport LED Light | Baja Designs S2 Sport LED Light Kit / Pair Pack | Baja Designs Squadron Sport LED Light
stage 2 intake,\b(?:stage\s+2\s+intake)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,AFE Magnum FORCE Stage 2 Intake System 14-18 Jeep Grand Cherokee 3.0L EcoDiesel | AFE Magnum FORCE Stage 2 Intake System Cover 13-18 Ram 6.7L Cummins | AFE Magnum FORCE Stage 2 Intake System Cover 14-18 Ram 1500 EcoDiesel
transmission converter package,\b(?:transmission\s+converter\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,11,11,1.0,0.6671,1,1,BD Performance 6R140 Roadmaster Transmission & Converter Package 11-16 Ford 6.7L Powerstroke | BD Performance 6R140 Roadmaster Transmission & Converter Package 17-19 Ford 6.7L Powerstroke | BD Power Roadmaster 68RFE Transmission & Converter Package 07.5-18 Dodge 6.7L Cummins
bd premium,\b(?:bd\s+premium)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,11,11,1.0,0.6671,1,1,BD Premium Performance Plus 503 Common Rail Injector 03-04 Dodge 5.9L Cummins | BD Premium Performance Plus 505 Common Rail Injector 04.5-07 Dodge 5.9L Cummins | BD Premium Performance Plus 518 Common Rail Injector 07.5-12 Dodge 6.7L Cummins
buildit transmission,\b(?:buildit\s+transmission)\b,Automatic Transmission,Automatic Transmission,Rebuild Kits,Motor Vehicle Transmission & Drivetrain Parts,11,11,1.0,0.6671,1,1,BD 47RH/RE Stage 4 Build-It Transmission & Converter Kit 94-02 Ram 5.9L Cummins | BD 48RE Stage 4 Build-It Transmission & Converter Kit 03-07 Ram 5.9L Cummins | BD 68RFE Stage 2 Build-It Transmission & Converter Kit 07.5-18 Ram 6.7L Cummins
catback single,\b(?:catback\s+single)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,11,11,1.0,0.6671,1,1,"Diamond Eye 4"" Aluminized Cat-Back Single 04.5-05 6.6L LLY Duramax K4110A | Diamond Eye 4"" Aluminized Cat-Back Single Outlet Exhaust 06-07 GM 6.6L LBZ Duramax | Diamond Eye 4"" Aluminized Cat-Back Single Outlet Exhaust W/Turbo Direct Pipe 06-07 6.6L LBZ Duramax"
freedom series,\b(?:freedom\s+series)\b,Engine Components,Engine Components,Cylinder Head,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,Fleece Performance Freedom Series Cupless Driver Side Cylinder Head 01-04 6.6L GM Duramax LB7 | Fleece Performance Freedom Series Cupless Passenger Cylinder Head 01-04 6.6L GM Duramax LB7 | Fleece Performance Freedom Series Cylinder Head 17-23 GM 6.6L Duramax L5P
monster exhaust,\b(?:monster\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,11,11,1.0,0.6671,1,1,"Banks 49779 5"" Single Outlet Monster Exhaust System with Chrome Tip 10-12 Dodge 6.7L Cummins | Banks 49779-B 5"" Single Outlet Monster Exhaust System with Black Tip 10-12 Dodge 6.7L Cummins | Banks 5"" Monster Exhaust System with SideKick Tip 19-24 Ram 6.7L Cummins"
rebound wheels,\b(?:rebound\s+wheels)\b,Wheel & Tire,Wheel & Tire,Wheels,Automotive Rims & Wheels,11,11,1.0,0.6671,1,1,"ICON Rebound Wheels 20"" Bronze | ICON Rebound Wheels 20"" Satin Black | ICON Rebound Wheels 20"" Titanium"
separation system,\b(?:separation\s+system)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,11,11,1.0,0.6671,1,1,Airdog 4G Air Fuel Separation System 01-10 GM Duramax | Airdog 4G Air Fuel Separation System 05-18 Dodge Ram 5.9/6.7L Cummins | Airdog 4G Air Fuel Separation System 08-10 6.4L Ford Powerstroke
supreme outer,\b(?:supreme\s+outer)\b,Suspension & Steering,Suspension & Steering,Tie Rods & Steering Linkage,Motor Vehicle Suspension Parts,11,11,1.0,0.6671,1,1,Mevotech Supreme Outer Left Tie Rod End 05-22 Ford Superduty F-250/350 | Mevotech Supreme Outer Left Tie Rod End 89-93 Dodge Ram 5.9L Cummins W250/350 | Mevotech Supreme Outer Left Tie Rod End 98-99 Dodge Ram 5.9L Cummins 2500/3500 4WD
tensioner pulley,\b(?:tensioner\s+pulley)\b,Engine Components,Engine Components,Belts / Pulleys / Fans,Motor Vehicle Engine Parts,11,11,1.0,0.6671,1,1,Dayco Belt Idler/Tensioner Pulley | Dual Alternators | 05-07 Ford 6.0L & 11-19 Ford 6.7L Powerstroke | Dayco Drive Belt Idler/Tensioner Pulley 08-10 Ford SuperDuty & 88-95 GM Diesel | Dayco Drive Belt Idler/Tensioner Pulley 16-18 Nissan Titan XD & 03-18 Dodge Ram Cummins
with cdcv,\b(?:with\s+cdcv)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,11,11,1.0,0.6671,1,1,"ICON 2.5 VS Piggyback Reservoir / with CDCV Shock Absorbers | 7"" Lift 05-25 Ford SuperDuty | ICON 2.5"" PBR Front Shocks with CDCV 3-6"" Lift 99-04 Ford F-250/F-350 SuperDuty | ICON 2.5"" PBR Rear Shocks with CDCV 3-8"" Lift 99-16 Ford F-250/F-350 SuperDuty"
0 adventure series ifp rear,\b(?:0\s+adventure\s+series\s+ifp\s+rear)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 03-12 Ram 2500/3500 | 3-5"" Lift 13-24 3500 | 3-4"" Lift 01-25 GM 2500HD/3500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 94-02 Dodge Ram 2500/3500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 01-10 GM 2500HD/3500"
0 ifp front rear shock,\b(?:0\s+ifp\s+front\s+rear\s+shock)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 01-10 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 11-19 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-3"" Lift 20-24 GM 2500HD/3500 2WD/4WD"
165g titanium signature series fuel,\b(?:165g\s+titanium\s+signature\s+series\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,10,10,1.0,0.6321,1,1,"FASS TS 165G Titanium Signature Series Fuel Lift Pump 165GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS C08 165G Titanium Signature Series Fuel Lift Pump 165GPH 92-00 GM 6.5L Turbo Diesel | FASS TS C10 165G Titanium Signature Series Fuel Lift Pump 165GPH 01-10 6.6L GM Duramax"
2 5 series rear shocks,\b(?:2\s+5\s+series\s+rear\s+shocks)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"ADS Mesa 2.5 Series Rear Shocks 01-19 GM 2500HD/3500 | ADS Mesa 2.5 Series Rear Shocks 05-22 Ford F-250 / F-350 With 0""-2"" Of Lift | ADS Mesa 2.5 Series Rear Shocks 10-13 Ram 2500/3500 With 0.0"" - 1.5"" Of Lift"
409 stainless steel dpfback exhaust,\b(?:409\s+stainless\s+steel\s+dpfback\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,10,10,1.0,0.6321,1,1,"AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust 07.5-12 Ram 6.7L Cummins | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust System 20-25 GM 6.6L Duramax"
4g 150 gph fuel pump,\b(?:4g\s+150\s+gph\s+fuel\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,10,10,1.0,0.6321,1,1,PureFlow R4SBC136 Raptor 4G 150 GPH Fuel Pump 01-10 GM Duramax | PureFlow R4SBC137 Raptor 4G 150 GPH Fuel Pump 11-14 6.6L GM Duramax LML | PureFlow R4SBC139 Raptor 4G 150 GPH Fuel Pump 15-16 6.6L GM Duramax LML
4g air fuel separation system,\b(?:4g\s+air\s+fuel\s+separation\s+system)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,10,10,1.0,0.6321,1,1,Airdog 4G Air Fuel Separation System 01-10 GM Duramax | Airdog 4G Air Fuel Separation System 05-18 Dodge Ram 5.9/6.7L Cummins | Airdog 4G Air Fuel Separation System 08-10 6.4L Ford Powerstroke
adventure series ifp rear gas,\b(?:adventure\s+series\s+ifp\s+rear\s+gas)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 03-12 Ram 2500/3500 | 3-5"" Lift 13-24 3500 | 3-4"" Lift 01-25 GM 2500HD/3500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 94-02 Dodge Ram 2500/3500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 01-10 GM 2500HD/3500"
armor lite 5 turbo back,\b(?:armor\s+lite\s+5\s+turbo\s+back)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,10,10,1.0,0.6321,1,1,"MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust 03-07 Ford 6.0L Powerstroke | MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust System with Muffler 03-04 Dodge 5.9L Cummins | MBRP Armor Lite 5"" Turbo Back Aluminized Exhaust System with Muffler 98.5-02 Dodge 5.9L Cummins"
conversion stage 1 transmission 68rfe,\b(?:conversion\s+stage\s+1\s+transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,ATS Allison Conversion Stage 1 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 1 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 1 Transmission 68RFE 10-12 Ram 6.7L Cummins 4WD
conversion stage 2 transmission 68rfe,\b(?:conversion\s+stage\s+2\s+transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,ATS Allison Conversion Stage 2 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 2 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 4WD | ATS Allison Conversion Stage 2 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD
conversion stage 3 transmission 68rfe,\b(?:conversion\s+stage\s+3\s+transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,ATS Allison Conversion Stage 3 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 3 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 4WD | ATS Allison Conversion Stage 3 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD
conversion stage 4 transmission 68rfe,\b(?:conversion\s+stage\s+4\s+transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,ATS Allison Conversion Stage 4 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 4 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 4WD | ATS Allison Conversion Stage 4 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD
conversion stage 5 transmission 68rfe,\b(?:conversion\s+stage\s+5\s+transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,ATS Allison Conversion Stage 5 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 5 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 4WD | ATS Allison Conversion Stage 5 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD
diameter series 3 pushrods set,\b(?:diameter\s+series\s+3\s+pushrods\s+set)\b,Engine Components,Engine Components,Tappets / Push Rods,Motor Vehicle Engine Parts,10,10,1.0,0.6321,1,1,"Manton 1/2"" Diameter Series 3 Pushrods (Set of 12) 98.5-18 Dodge 5.9L / 6.7L Cummins | Manton 11/32"" Diameter Series 3 Pushrods (Set of 16) 03-07 6.0L Ford Powerstroke | Manton 11/32"" Diameter Series 3 Pushrods (Set of 16) 08-10 6.4L Ford Powerstroke"
flow pro 5r pro dry,\b(?:flow\s+pro\s+5r\s+pro\s+dry)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Air Filters,Motor Vehicle Engine Parts,10,10,1.0,0.6321,1,1,"AFE Magnum Flow Pro 5R / Pro DRY S Air Filter - Universal (4"" ID x 4.5""-6"" L x 6"" W x 7"" H) | AFE Power Flow Pro 5R / Pro DRY S / Pro-GUARD 7 Air Filter - Universal (6"" ID x 8-1/8"" Base/Top x 9"" H) | AFE Power Magnum Flow Pro 5R / Pro DRY S / Pro-GUARD 7 Air Filter (4"" ID x 6"" L x 4.75"" W x 9"" H)"
hitch 2 5 shank with,\b(?:hitch\s+2\s+5\s+shank\s+with)\b,Hitches,Hitches,,Motor Vehicle Towing,10,10,1.0,0.6321,1,1,"Gen-Y Hitch Mega-Duty 32K Drop Hitch 2.5"" Shank With Dual-Ball - 6"" / 9"" / 12"" Drop | Gen-Y Hitch Mega-Duty 32K Drop Hitch 2.5"" Shank With Dual-Ball - 6"" / 9"" / 12"" Offset Drop | Gen-Y Hitch Mega-Duty Series 21K Drop Hitch 2.5"" Shank With Ball - 6"" / 9"" / 12"" Offset Drop"
ifp front rear shock package,\b(?:ifp\s+front\s+rear\s+shock\s+package)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 01-10 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 11-19 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-3"" Lift 20-24 GM 2500HD/3500 2WD/4WD"
lift package with fox shocks,\b(?:lift\s+package\s+with\s+fox\s+shocks)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"Cognito 10"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax | Cognito 12"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax | Cognito 4"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax"
mesa 2 5 series front,\b(?:mesa\s+2\s+5\s+series\s+front)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"ADS Mesa 2.5 Series Front Coilover Shocks With Eibach Springs 09-18 Ram 1500 0.0"" - 2.5"" Of Lift | ADS Mesa 2.5 Series Front Coilover Shocks With Eibach Springs 14-20 Ford F150 0.0"" - 2.0"" Of Lift | ADS Mesa 2.5 Series Front Coilover Shocks With Eibach Springs 19-23 GM 1500 0.0"" - 2.0"" Of Lift"
mesa 2 5 series rear,\b(?:mesa\s+2\s+5\s+series\s+rear)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,10,10,1.0,0.6321,1,1,"ADS Mesa 2.5 Series Rear Shocks 01-19 GM 2500HD/3500 | ADS Mesa 2.5 Series Rear Shocks 05-22 Ford F-250 / F-350 With 0""-2"" Of Lift | ADS Mesa 2.5 Series Rear Shocks 10-13 Ram 2500/3500 With 0.0"" - 1.5"" Of Lift"
outlet dual wall angle cut,\b(?:outlet\s+dual\s+wall\s+angle\s+cut)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,10,10,1.0,0.6321,1,1,"MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Black Exhaust Tip T5156BLK | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Exhaust Tip T5156 | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Rolled Edge Black Exhaust Tip T5155BLK"
raptor 4g 150 gph fuel,\b(?:raptor\s+4g\s+150\s+gph\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,10,10,1.0,0.6321,1,1,PureFlow R4SBC136 Raptor 4G 150 GPH Fuel Pump 01-10 GM Duramax | PureFlow R4SBC137 Raptor 4G 150 GPH Fuel Pump 11-14 6.6L GM Duramax LML | PureFlow R4SBC139 Raptor 4G 150 GPH Fuel Pump 15-16 6.6L GM Duramax LML
series 3 pushrods set of,\b(?:series\s+3\s+pushrods\s+set\s+of)\b,Engine Components,Engine Components,Tappets / Push Rods,Motor Vehicle Engine Parts,10,10,1.0,0.6321,1,1,"Manton 1/2"" Diameter Series 3 Pushrods (Set of 12) 98.5-18 Dodge 5.9L / 6.7L Cummins | Manton 11/32"" Diameter Series 3 Pushrods (Set of 16) 03-07 6.0L Ford Powerstroke | Manton 11/32"" Diameter Series 3 Pushrods (Set of 16) 08-10 6.4L Ford Powerstroke"
stage 8 dimpled and slotted,\b(?:stage\s+8\s+dimpled\s+and\s+slotted)\b,Brakes,Brakes,Rotor & Pad Packages,Motor Vehicle Braking,10,10,1.0,0.6321,1,1,EBC Stage 8 Dimpled and Slotted Front Brake Rotor and Pad Kit 03-08 Ram HD | EBC Stage 8 Dimpled and Slotted Front Brake Rotor and Pad Kit 09-18 Ram HD | EBC Stage 8 Dimpled and Slotted Front Brake Rotor and Pad Kits 01-16 GM HD
street dual disc clutch kit,\b(?:street\s+dual\s+disc\s+clutch\s+kit)\b,Manual Transmission,Manual Transmission,Dual Disc Clutches,Motor Vehicle Transmission & Drivetrain Parts,10,10,1.0,0.6321,1,1,South Bend Organic Street Dual Disc Clutch Kit 01-06 6.6L GM Duramax | South Bend Organic Street Dual Disc Clutch Kit 03-07 6.0L Ford Powerstroke 6 Speed | South Bend Organic Street Dual Disc Clutch Kit 08-10 6.4L Ford Powerstroke 6 Speed
streetpro top end gasket kit,\b(?:streetpro\s+top\s+end\s+gasket\s+kit)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,10,10,1.0,0.6321,1,1,Cometic StreetPro Top End Gasket Kit 01-04 GM 6.6L Duramax LB7 | Cometic StreetPro Top End Gasket Kit 03-07 Dodge Ram 5.9L Cummins | Cometic StreetPro Top End Gasket Kit 03-07 Ford 6.0L Powerstroke
talon slotted rear brake rotors,\b(?:talon\s+slotted\s+rear\s+brake\s+rotors)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Braking,10,10,1.0,0.6321,1,1,Hawk Performance Talon Slotted Rear Brake Rotors 01-02 Ram 2500/3500 | Hawk Performance Talon Slotted Rear Brake Rotors 03-08 Ram 2500/3500 | Hawk Performance Talon Slotted Rear Brake Rotors 05-12 Ford F-250/350 SRW
water tank 0723 mercedes sprinter,\b(?:water\s+tank\s+0723\s+mercedes\s+sprinter)\b,Water Tanks,Water Tanks,,Motor Vehicle Parts,10,10,1.0,0.6321,1,1,S&B 16 Gallon Passenger Side Undercarriage Fresh Water Tank 07-23 Mercedes Sprinter 2.0L/3.0L Diesel | S&B 20 Gallon Wheel Well Water Tank 07-23 Mercedes Sprinter 2500/3500 / 15-19 Ford Transit 2.0L | S&B 22 Gallon Driver Side Undercarriage Fresh Water Tank 07-23 Mercedes Sprinter 2.0L / 3.0L Diesel
